Date,CustomerID,ProductType,ServiceType,Quantity,UnitPrice,Region,SalesRep,InstallationRequired,PaymentMethod,TotalRevenue,InstallationDate
2024-09-26,1780,Battery 200Ah,Installation,2,155254,Abuja,Ada,No,Cash,310508,
2024-12-16,2019,Solar Panel 500W,Product Purchase,5,59362,Lagos,Ada,Yes,Online Gateway,296810,2024-12-28
2024-10-30,2403,Solar Panel 500W,Product Purchase,7,279720,Kano,Tunde,No,Transfer,1958040,
2024-09-27,2426,Inverter 3.5kVA,Installation,6,381726,Port Harcourt,Tunde,Yes,Cash,2290356,2024-10-05
2024-08-02,9855,Battery 200Ah,Repair,4,15819,Abuja,Michael,No,Transfer,63276,
2024-09-08,6868,Charge Controller,Maintenance,9,101145,Abuja,Stella,No,Online Gateway,910305,
2024-07-08,1010,Inverter 3.5kVA,Installation,4,198844,Abuja,Michael,Yes,Transfer,795376,2024-07-16
2024-10-22,7330,Inverter 3.5kVA,Maintenance,3,170385,Enugu,Michael,No,Transfer,511155,
2024-07-31,3825,Accessories,Repair,5,87248,Enugu,John,No,Cash,436240,
2024-07-26,8464,Solar Panel 300W,Site Inspection,4,141308,Abuja,Grace,Yes,Transfer,565232,2024-08-05
2024-08-24,4003,Inverter 3.5kVA,Site Inspection,2,160929,Kano,Michael,No,Online Gateway,321858,
2024-12-03,8195,Charge Controller,Repair,3,42083,Port Harcourt,Michael,Yes,Online Gateway,126249,2024-12-15
2024-02-22,7720,Solar Panel 500W,Maintenance,7,232680,Lagos,Michael,No,Cash,1628760,
2024-10-06,4088,Battery 200Ah,Installation,2,304709,Ibadan,Michael,No,Transfer,609418,
2024-08-04,2789,Solar Panel 300W,Repair,1,391409,Kano,Stella,Yes,POS,391409,2024-08-07
2024-09-08,4036,Battery 200Ah,Repair,2,259612,Kano,John,No,Transfer,519224,
2024-07-06,8377,Solar Panel 500W,Site Inspection,8,20751,Ibadan,Tunde,Yes,POS,166008,2024-07-20
2024-02-10,8598,Inverter 3.5kVA,Installation,8,306429,Ibadan,Grace,Yes,Transfer,2451432,2024-02-14
2024-06-05,5838,Accessories,Site Inspection,2,348294,Abuja,Ada,Yes,Online Gateway,696588,2024-06-17
2024-01-15,6872,Charge Controller,Maintenance,6,314546,Port Harcourt,Tunde,No,Online Gateway,1887276,
2024-10-27,4653,Solar Panel 300W,Maintenance,7,363420,Kano,John,Yes,Transfer,2543940,2024-11-02
2024-03-05,5299,Charge Controller,Product Purchase,1,362708,Kano,Michael,Yes,Transfer,362708,2024-03-16
2024-12-10,1973,Charge Controller,Repair,7,411423,Lagos,Tunde,No,Online Gateway,2879961,
2024-11-22,8083,Charge Controller,Installation,8,391734,Ibadan,Michael,Yes,Transfer,3133872,2024-11-25
2024-01-09,6494,Charge Controller,Installation,9,17656,Ibadan,Grace,No,Transfer,158904,
2024-12-09,4406,Solar Panel 500W,Site Inspection,8,401708,Kano,Stella,Yes,Cash,3213664,2024-12-17
2024-05-08,6150,Charge Controller,Site Inspection,3,425850,Ibadan,Stella,No,Cash,1277550,
2024-05-15,4129,Accessories,Installation,8,319916,Abuja,Grace,No,Cash,2559328,
2024-03-03,1104,Charge Controller,Site Inspection,3,41418,Lagos,Grace,No,POS,124254,
2024-05-18,8433,Solar Panel 500W,Product Purchase,6,129915,Kano,John,No,Online Gateway,779490,
2024-03-21,8689,Battery 200Ah,Repair,4,117202,Enugu,Grace,No,Transfer,468808,
2024-06-11,4567,Solar Panel 500W,Product Purchase,7,238489,Lagos,Tunde,No,Online Gateway,1669423,
2024-10-15,5348,Accessories,Maintenance,8,110645,Enugu,Stella,Yes,Transfer,885160,2024-10-20
2024-09-17,5390,Accessories,Installation,6,230865,Abuja,Grace,Yes,Transfer,1385190,2024-09-24
2024-08-18,7811,Inverter 3.5kVA,Product Purchase,4,386931,Lagos,John,No,Online Gateway,1547724,
2024-02-10,2181,Solar Panel 500W,Product Purchase,8,47720,Enugu,John,Yes,POS,381760,2024-02-11
2024-01-28,5644,Battery 200Ah,Site Inspection,7,401283,Ibadan,John,No,POS,2808981,
2024-05-14,6873,Inverter 3.5kVA,Site Inspection,8,315051,Kano,Tunde,Yes,POS,2520408,2024-05-23
2024-07-19,5394,Inverter 3.5kVA,Site Inspection,7,349247,Lagos,Grace,No,POS,2444729,
2024-11-23,4534,Solar Panel 300W,Maintenance,3,250932,Port Harcourt,Tunde,Yes,Cash,752796,2024-12-01
2024-09-24,6844,Charge Controller,Product Purchase,3,411676,Kano,John,Yes,Online Gateway,1235028,2024-09-27
2024-02-02,6939,Inverter 3.5kVA,Repair,9,369648,Lagos,Ada,No,POS,3326832,
2024-02-17,7475,Inverter 3.5kVA,Site Inspection,7,206113,Kano,Grace,Yes,POS,1442791,2024-02-20
2024-03-02,2774,Accessories,Maintenance,1,312426,Enugu,Grace,No,POS,312426,
2024-08-03,9283,Battery 200Ah,Maintenance,3,445268,Lagos,Tunde,No,POS,1335804,
2024-10-19,1446,Inverter 3.5kVA,Site Inspection,1,438528,Lagos,Tunde,Yes,Cash,438528,2024-10-25
2024-04-08,1108,Battery 200Ah,Installation,6,413720,Ibadan,Ada,Yes,Transfer,2482320,2024-04-13
2024-06-20,4239,Charge Controller,Product Purchase,2,234054,Lagos,Tunde,Yes,POS,468108,2024-07-01
2024-12-25,6931,Accessories,Site Inspection,7,100089,Port Harcourt,Tunde,No,Cash,700623,
2024-08-01,5053,Solar Panel 300W,Repair,8,144976,Ibadan,Grace,Yes,Cash,1159808,2024-08-04
2024-02-04,5537,Solar Panel 300W,Product Purchase,6,398245,Port Harcourt,Stella,Yes,Cash,2389470,2024-02-09
2024-08-14,7361,Charge Controller,Maintenance,5,294192,Enugu,Ada,Yes,Transfer,1470960,2024-08-15
2024-04-10,2245,Charge Controller,Repair,4,102257,Port Harcourt,Stella,Yes,Online Gateway,409028,2024-04-13
2024-05-10,3720,Accessories,Product Purchase,9,390497,Abuja,Grace,Yes,POS,3514473,2024-05-17
2024-09-13,9469,Accessories,Repair,8,389251,Port Harcourt,Ada,Yes,Transfer,3114008,2024-09-20
2024-01-05,8741,Solar Panel 500W,Maintenance,5,306244,Lagos,Ada,No,Cash,1531220,
2024-08-05,6105,Inverter 3.5kVA,Site Inspection,1,251115,Kano,Ada,Yes,Transfer,251115,2024-08-15
2024-09-11,3922,Inverter 3.5kVA,Repair,8,17632,Ibadan,Tunde,No,Online Gateway,141056,
2024-12-24,3513,Inverter 3.5kVA,Site Inspection,8,194771,Ibadan,John,No,Cash,1558168,
2024-10-09,3801,Battery 200Ah,Maintenance,7,214673,Ibadan,Michael,Yes,Online Gateway,1502711,2024-10-14
2024-07-25,7981,Solar Panel 500W,Maintenance,7,377337,Kano,John,No,Online Gateway,2641359,
2024-01-15,9221,Inverter 3.5kVA,Repair,8,192118,Port Harcourt,Tunde,Yes,Cash,1536944,2024-01-21
2024-12-11,7502,Battery 200Ah,Repair,1,390442,Enugu,Tunde,No,POS,390442,
2024-02-11,7038,Battery 200Ah,Maintenance,3,42694,Abuja,Michael,Yes,Online Gateway,128082,2024-02-22
2024-06-27,7229,Solar Panel 300W,Repair,4,125814,Lagos,Tunde,No,Cash,503256,
2024-03-03,1364,Battery 200Ah,Repair,6,32343,Enugu,Ada,Yes,Transfer,194058,2024-03-09
2024-12-17,2800,Charge Controller,Repair,9,236341,Ibadan,Stella,Yes,Transfer,2127069,2024-12-28
2024-08-18,6958,Accessories,Repair,4,30406,Lagos,Stella,Yes,Online Gateway,121624,2024-08-22
2024-08-28,8436,Battery 200Ah,Product Purchase,6,311919,Port Harcourt,Ada,No,Cash,1871514,
2024-02-21,5793,Charge Controller,Maintenance,9,77240,Enugu,John,Yes,Online Gateway,695160,2024-02-22
2024-04-05,9160,Charge Controller,Maintenance,9,179561,Abuja,Stella,No,POS,1616049,
2024-08-09,1179,Solar Panel 300W,Installation,6,226262,Ibadan,Ada,Yes,Transfer,1357572,2024-08-21
2024-08-18,4873,Solar Panel 300W,Site Inspection,5,180094,Port Harcourt,John,Yes,POS,900470,2024-08-19
2024-08-24,4960,Battery 200Ah,Installation,3,213953,Enugu,Grace,No,Online Gateway,641859,
2024-05-22,2186,Solar Panel 300W,Repair,5,375552,Abuja,Stella,Yes,POS,1877760,2024-05-23
2024-06-19,1773,Solar Panel 300W,Repair,3,311573,Enugu,Ada,No,POS,934719,
2024-01-29,5460,Accessories,Product Purchase,5,290314,Ibadan,Stella,Yes,Online Gateway,1451570,2024-02-01
2024-02-05,1352,Inverter 3.5kVA,Product Purchase,1,85954,Port Harcourt,Stella,No,Online Gateway,85954,
2024-01-13,7943,Battery 200Ah,Product Purchase,6,425691,Lagos,Stella,No,Online Gateway,2554146,
2024-06-08,6202,Battery 200Ah,Product Purchase,7,173368,Enugu,Michael,Yes,POS,1213576,2024-06-17
2024-11-22,6344,Battery 200Ah,Product Purchase,2,168195,Kano,John,Yes,Cash,336390,2024-12-05
2024-07-05,5507,Solar Panel 300W,Product Purchase,3,142776,Ibadan,Stella,No,Cash,428328,
2024-08-30,5830,Accessories,Product Purchase,9,284104,Abuja,Ada,Yes,Cash,2556936,2024-09-12
2024-03-26,1117,Solar Panel 300W,Product Purchase,8,194795,Abuja,Michael,No,POS,1558360,
2024-10-10,1481,Charge Controller,Product Purchase,4,335552,Kano,Tunde,No,Transfer,1342208,
2024-03-06,5287,Solar Panel 500W,Maintenance,8,112479,Kano,Tunde,Yes,Transfer,899832,2024-03-14
2024-06-18,7802,Solar Panel 500W,Product Purchase,8,180411,Port Harcourt,John,No,Online Gateway,1443288,
2024-02-14,9298,Solar Panel 500W,Site Inspection,6,50783,Kano,Ada,No,Cash,304698,
2024-03-02,5477,Inverter 3.5kVA,Product Purchase,1,87542,Ibadan,Michael,No,Transfer,87542,
2024-05-13,7533,Solar Panel 300W,Repair,2,165902,Enugu,Ada,Yes,Cash,331804,2024-05-16
2024-10-10,1243,Charge Controller,Repair,4,98349,Kano,Michael,Yes,POS,393396,2024-10-15
2024-01-28,8012,Charge Controller,Product Purchase,4,358273,Ibadan,Grace,Yes,Online Gateway,1433092,2024-02-05
2024-04-17,1865,Solar Panel 500W,Product Purchase,2,225427,Lagos,Grace,Yes,Online Gateway,450854,2024-04-20
2024-02-13,6329,Accessories,Repair,9,31625,Kano,Grace,No,Online Gateway,284625,
2024-12-05,1603,Inverter 3.5kVA,Site Inspection,2,120390,Lagos,Michael,Yes,Online Gateway,240780,2024-12-18
2024-10-12,6756,Inverter 3.5kVA,Installation,6,139242,Enugu,Tunde,Yes,Online Gateway,835452,2024-10-14
2024-11-26,5018,Solar Panel 500W,Maintenance,5,98987,Abuja,Grace,Yes,Online Gateway,494935,2024-12-02
2024-05-07,6192,Solar Panel 500W,Repair,4,369134,Enugu,John,Yes,Online Gateway,1476536,2024-05-13
2024-12-13,3015,Solar Panel 300W,Product Purchase,6,399663,Kano,John,Yes,Cash,2397978,2024-12-25
2024-08-18,4380,Accessories,Maintenance,4,243221,Abuja,Ada,No,Transfer,972884,
2024-07-08,4770,Inverter 3.5kVA,Product Purchase,9,55106,Enugu,Michael,Yes,Cash,495954,2024-07-09
2024-08-12,6829,Charge Controller,Installation,7,423791,Lagos,Grace,Yes,Cash,2966537,2024-08-19
2024-10-09,2613,Solar Panel 500W,Installation,3,373243,Abuja,Michael,Yes,Transfer,1119729,2024-10-16
2024-04-30,2879,Solar Panel 300W,Repair,4,87423,Lagos,Stella,Yes,Cash,349692,2024-05-08
2024-04-25,6372,Charge Controller,Maintenance,1,315047,Port Harcourt,John,No,Online Gateway,315047,
2024-08-20,5108,Inverter 3.5kVA,Maintenance,6,235442,Enugu,Michael,Yes,Cash,1412652,2024-09-03
2024-09-15,9978,Solar Panel 500W,Installation,2,355132,Enugu,Ada,No,Online Gateway,710264,
2024-12-24,1148,Accessories,Product Purchase,4,247204,Lagos,Grace,Yes,Transfer,988816,2025-01-03
2024-07-16,2754,Solar Panel 500W,Repair,5,125258,Port Harcourt,Tunde,No,Cash,626290,
2024-05-16,8378,Accessories,Site Inspection,8,85913,Abuja,Grace,Yes,POS,687304,2024-05-28
2024-11-13,7681,Solar Panel 300W,Installation,3,250083,Lagos,Tunde,No,Cash,750249,
2024-06-13,4756,Solar Panel 300W,Installation,6,239872,Port Harcourt,John,No,Transfer,1439232,
2024-08-12,6392,Inverter 3.5kVA,Repair,1,50168,Lagos,Grace,Yes,POS,50168,2024-08-16
2024-11-02,4052,Accessories,Product Purchase,9,100078,Ibadan,John,No,Online Gateway,900702,
2024-08-21,6692,Solar Panel 500W,Maintenance,1,245925,Enugu,Stella,No,POS,245925,
2024-06-20,5218,Solar Panel 300W,Installation,2,356936,Ibadan,John,Yes,Online Gateway,713872,2024-06-27
2024-05-31,5803,Solar Panel 500W,Repair,1,21902,Abuja,Michael,No,Transfer,21902,
2024-11-10,3377,Inverter 3.5kVA,Repair,8,228869,Ibadan,Michael,Yes,Online Gateway,1830952,2024-11-23
2024-06-08,6086,Accessories,Repair,4,95624,Enugu,Michael,No,Transfer,382496,
2024-04-05,4182,Solar Panel 500W,Maintenance,2,349689,Kano,Michael,Yes,Cash,699378,2024-04-09
2024-08-20,4160,Charge Controller,Installation,7,427680,Port Harcourt,Stella,No,POS,2993760,
2024-06-28,7576,Solar Panel 500W,Repair,8,411750,Enugu,John,No,POS,3294000,
2024-04-22,9903,Battery 200Ah,Maintenance,9,92335,Enugu,John,No,POS,831015,
2024-11-13,3586,Battery 200Ah,Product Purchase,5,284935,Kano,John,No,Online Gateway,1424675,
2024-02-21,3648,Inverter 3.5kVA,Site Inspection,3,24512,Ibadan,Stella,No,Transfer,73536,
2024-09-24,8313,Inverter 3.5kVA,Installation,1,242259,Abuja,Stella,Yes,Cash,242259,2024-10-01
2024-10-21,2717,Inverter 3.5kVA,Maintenance,8,298864,Kano,Michael,Yes,Transfer,2390912,2024-10-26
2024-04-22,6308,Charge Controller,Site Inspection,6,160635,Enugu,Grace,No,POS,963810,
2024-04-10,8407,Accessories,Site Inspection,5,198327,Abuja,Stella,No,Online Gateway,991635,
2024-04-22,1870,Charge Controller,Maintenance,7,273478,Lagos,Stella,No,Cash,1914346,
2024-03-21,4574,Solar Panel 500W,Maintenance,5,361900,Enugu,Ada,No,Cash,1809500,
2024-07-05,6827,Solar Panel 300W,Maintenance,4,208766,Kano,Michael,No,Online Gateway,835064,
2024-04-22,8986,Accessories,Repair,5,230109,Lagos,Michael,No,Transfer,1150545,
2024-01-02,9462,Battery 200Ah,Product Purchase,7,57094,Kano,Ada,No,Online Gateway,399658,
2024-05-09,9741,Battery 200Ah,Repair,6,206576,Port Harcourt,John,Yes,POS,1239456,2024-05-21
2024-08-07,6769,Battery 200Ah,Site Inspection,9,109209,Abuja,Grace,No,POS,982881,
2024-02-23,6733,Solar Panel 500W,Site Inspection,2,438838,Lagos,Ada,No,POS,877676,
2024-12-08,4240,Solar Panel 500W,Site Inspection,7,272079,Ibadan,Ada,Yes,Cash,1904553,2024-12-15
2024-08-11,5893,Inverter 3.5kVA,Maintenance,1,214325,Kano,Grace,Yes,POS,214325,2024-08-17
2024-08-12,1886,Solar Panel 300W,Installation,8,236118,Enugu,Grace,Yes,Transfer,1888944,2024-08-22
2024-05-05,6854,Inverter 3.5kVA,Repair,4,168870,Lagos,Ada,Yes,Cash,675480,2024-05-08
2024-05-09,6318,Solar Panel 500W,Installation,8,366505,Kano,Stella,No,Transfer,2932040,
2024-02-22,3258,Charge Controller,Product Purchase,8,435383,Kano,Ada,No,Cash,3483064,
2024-06-20,5382,Inverter 3.5kVA,Product Purchase,4,62373,Kano,Tunde,Yes,Transfer,249492,2024-06-23
2024-08-05,2785,Accessories,Repair,4,285525,Lagos,Ada,No,POS,1142100,
2024-06-08,8727,Solar Panel 500W,Site Inspection,5,157033,Lagos,John,No,Cash,785165,
2024-07-16,1295,Solar Panel 500W,Product Purchase,7,116683,Kano,John,Yes,Transfer,816781,2024-07-19
2024-09-03,3597,Charge Controller,Installation,6,404141,Ibadan,Grace,No,Cash,2424846,
2024-11-19,1680,Charge Controller,Installation,1,160421,Enugu,John,No,Cash,160421,
2024-07-21,5890,Charge Controller,Maintenance,6,256125,Abuja,Ada,No,POS,1536750,
2024-07-02,5298,Solar Panel 300W,Site Inspection,3,389477,Kano,Michael,No,Cash,1168431,
2024-05-02,1324,Accessories,Maintenance,9,245945,Ibadan,John,Yes,Online Gateway,2213505,2024-05-08
2024-09-11,8952,Solar Panel 500W,Repair,3,231917,Abuja,Ada,Yes,Transfer,695751,2024-09-18
2024-10-20,1986,Charge Controller,Product Purchase,9,163943,Kano,John,No,Online Gateway,1475487,
2024-10-06,4118,Solar Panel 300W,Maintenance,5,171215,Abuja,Stella,No,Cash,856075,
2024-11-20,1760,Battery 200Ah,Maintenance,8,297351,Kano,Stella,No,Transfer,2378808,
2024-04-07,8758,Accessories,Repair,9,17622,Lagos,Ada,No,Online Gateway,158598,
2024-07-16,1906,Battery 200Ah,Installation,9,380967,Kano,John,Yes,Online Gateway,3428703,2024-07-19
2024-08-27,6499,Battery 200Ah,Installation,7,406719,Kano,John,No,POS,2847033,
2024-05-23,1364,Solar Panel 500W,Repair,1,175549,Kano,Tunde,Yes,Online Gateway,175549,2024-06-05
2024-04-06,8769,Solar Panel 300W,Installation,8,15913,Kano,Grace,No,Cash,127304,
2024-07-19,4413,Solar Panel 300W,Repair,7,290199,Ibadan,Grace,No,Transfer,2031393,
2024-05-03,9027,Battery 200Ah,Installation,4,118533,Port Harcourt,John,No,Cash,474132,
2024-07-05,8939,Accessories,Repair,6,298729,Ibadan,Michael,Yes,Online Gateway,1792374,2024-07-17
2024-11-21,4081,Inverter 3.5kVA,Installation,2,435525,Ibadan,Stella,Yes,Cash,871050,2024-11-25
2024-12-14,6448,Battery 200Ah,Maintenance,4,156936,Lagos,John,No,Online Gateway,627744,
2024-09-15,4258,Solar Panel 500W,Maintenance,8,429997,Kano,Michael,No,POS,3439976,
2024-05-27,3107,Battery 200Ah,Installation,4,109588,Ibadan,Grace,Yes,Cash,438352,2024-06-01
2024-09-08,8928,Accessories,Repair,4,93133,Abuja,Ada,No,Cash,372532,
2024-12-11,3933,Accessories,Maintenance,4,146613,Kano,Stella,No,POS,586452,
2024-05-26,3829,Battery 200Ah,Product Purchase,9,118166,Lagos,Ada,Yes,Cash,1063494,2024-06-01
2024-05-27,9633,Solar Panel 300W,Installation,2,309127,Enugu,Grace,Yes,Online Gateway,618254,2024-06-04
2024-12-17,6006,Battery 200Ah,Product Purchase,7,155470,Enugu,Grace,Yes,POS,1088290,2024-12-31
2024-07-17,2559,Charge Controller,Product Purchase,3,39759,Lagos,John,No,Cash,119277,
2024-11-03,2741,Charge Controller,Site Inspection,4,235713,Abuja,Ada,No,Online Gateway,942852,
2024-05-07,6830,Inverter 3.5kVA,Product Purchase,1,76353,Enugu,Grace,No,Online Gateway,76353,
2024-02-08,8523,Solar Panel 500W,Product Purchase,3,336469,Lagos,Stella,No,Transfer,1009407,
2024-12-03,1625,Solar Panel 500W,Site Inspection,2,252556,Enugu,Ada,No,Transfer,505112,
2024-12-25,2690,Solar Panel 300W,Site Inspection,7,201833,Kano,Ada,Yes,Transfer,1412831,2025-01-06
2024-05-08,9282,Solar Panel 500W,Site Inspection,6,298262,Port Harcourt,Ada,Yes,POS,1789572,2024-05-11
2024-09-23,7310,Inverter 3.5kVA,Repair,1,94284,Port Harcourt,Michael,No,Online Gateway,94284,
2024-05-30,4006,Charge Controller,Site Inspection,8,363753,Ibadan,Michael,No,POS,2910024,
2024-10-24,5302,Solar Panel 300W,Repair,9,122752,Lagos,John,No,POS,1104768,
2024-04-08,2088,Accessories,Installation,1,353623,Kano,Ada,No,POS,353623,
2024-09-19,7007,Charge Controller,Repair,5,428696,Abuja,Michael,Yes,POS,2143480,2024-09-26
