Date,Month,Year,CustomerID,ProductType,ServiceType,Quantity,UnitPrice,Region,SalesRep,InstallationRequired,PaymentMethod,TotalRevenue,InstallationDate
5/31/2024,May,2024,5759,Battery 200Ah,Site Inspection,7,"?339,035",Kano,John,No,Cash,"?2,373,245",
5/10/2024,May,2024,6874,Solar Panel 300W,Site Inspection,6,"?324,808",Lagos,John,No,POS,"?1,948,848",
5/29/2024,May,2024,4688,Solar Panel 500W,Site Inspection,7,"?195,317",Port Harcourt,Stella,Yes,Cash,"?1,367,219",6/6/2024
11/4/2024,November,2024,8689,Battery 200Ah,Product Purchase,5,"?155,594",Ibadan,Michael,No,Cash,"?777,970",
9/14/2024,September,2024,2379,Solar Panel 500W,Maintenance,9,"?319,865",Kano,Ada,Yes,Cash,"?2,878,785",9/18/2024
12/9/2024,December,2024,5243,Accessories,Maintenance,3,"?447,644",Ibadan,Grace,No,Transfer,"?1,342,932",
10/20/2024,October,2024,7507,Solar Panel 500W,Product Purchase,6,"?160,248",Enugu,Stella,No,Cash,"?961,488",
7/10/2024,July,2024,8819,Battery 200Ah,Installation,9,"?364,113",Lagos,Michael,Yes,Cash,"?3,277,017",7/15/2024
10/3/2024,October,2024,9593,Solar Panel 500W,Site Inspection,1,"?230,213",Ibadan,John,Yes,Online Gateway,"?230,213",10/6/2024
6/9/2024,June,2024,3653,Inverter 3.5kVA,Site Inspection,5,"?34,126",Lagos,Ada,Yes,Cash,"?170,630",6/16/2024
11/9/2024,November,2024,6611,Solar Panel 300W,Product Purchase,4,"?278,240",Abuja,John,No,Online Gateway,"?1,112,960",
1/22/2024,January,2024,7127,Charge Controller,Site Inspection,9,"?105,111",Port Harcourt,Michael,No,POS,"?945,999",
9/9/2024,September,2024,4923,Battery 200Ah,Repair,1,"?438,056",Abuja,Grace,No,Online Gateway,"?438,056",
8/23/2024,August,2024,9459,Accessories,Maintenance,4,"?331,299",Lagos,Ada,Yes,Transfer,"?1,325,196",9/4/2024
12/10/2024,December,2024,6912,Charge Controller,Site Inspection,1,"?426,703",Enugu,Ada,Yes,Cash,"?426,703",12/19/2024
2/18/2024,February,2024,6130,Solar Panel 300W,Site Inspection,3,"?394,574",Abuja,Stella,No,Transfer,"?1,183,722",
2/28/2024,February,2024,6439,Inverter 3.5kVA,Repair,4,"?85,265",Lagos,Ada,No,POS,"?341,060",
6/18/2024,June,2024,8880,Inverter 3.5kVA,Installation,1,"?271,243",Abuja,Michael,Yes,Transfer,"?271,243",6/29/2024
7/6/2024,July,2024,7449,Inverter 3.5kVA,Installation,5,"?248,675",Lagos,Grace,Yes,Online Gateway,"?1,243,375",7/11/2024
9/27/2024,September,2024,2725,Inverter 3.5kVA,Repair,6,"?383,655",Port Harcourt,Grace,No,Cash,"?2,301,930",
7/8/2024,July,2024,8522,Battery 200Ah,Installation,1,"?195,349",Enugu,Tunde,No,Online Gateway,"?195,349",
6/23/2024,June,2024,5784,Battery 200Ah,Product Purchase,4,"?341,230",Port Harcourt,Tunde,No,Transfer,"?1,364,920",
2/20/2024,February,2024,2232,Solar Panel 500W,Repair,4,"?46,185",Port Harcourt,Ada,No,Online Gateway,"?184,740",
12/29/2024,December,2024,9808,Accessories,Maintenance,1,"?430,597",Lagos,Tunde,Yes,Transfer,"?430,597",1/1/2025
2/24/2024,February,2024,9338,Solar Panel 500W,Maintenance,2,"?63,555",Ibadan,Grace,No,Transfer,"?127,110",
8/31/2024,August,2024,8446,Accessories,Maintenance,5,"?200,898",Abuja,Michael,Yes,Transfer,"?1,004,490",9/4/2024
11/15/2024,November,2024,5616,Solar Panel 300W,Site Inspection,2,"?288,908",Abuja,Stella,No,Transfer,"?577,816",
5/10/2024,May,2024,5725,Solar Panel 500W,Repair,3,"?335,276",Abuja,John,No,POS,"?1,005,828",
11/2/2024,November,2024,4677,Solar Panel 300W,Repair,9,"?167,954",Enugu,John,No,Cash,"?1,511,586",
5/14/2024,May,2024,7287,Solar Panel 300W,Installation,5,"?185,247",Abuja,Michael,Yes,Online Gateway,"?926,235",5/19/2024
1/21/2024,January,2024,9480,Solar Panel 300W,Repair,1,"?181,192",Port Harcourt,Stella,No,Online Gateway,"?181,192",
11/24/2024,November,2024,2409,Inverter 3.5kVA,Repair,5,"?385,151",Ibadan,Michael,Yes,Online Gateway,"?1,925,755",12/1/2024
6/15/2024,June,2024,9205,Charge Controller,Installation,3,"?415,099",Abuja,Ada,No,Transfer,"?1,245,297",
9/30/2024,September,2024,1256,Charge Controller,Repair,1,"?346,900",Ibadan,Stella,No,Transfer,"?346,900",
3/29/2024,March,2024,2721,Battery 200Ah,Repair,3,"?273,665",Lagos,Grace,Yes,Cash,"?820,995",4/11/2024
11/11/2024,November,2024,2423,Solar Panel 300W,Product Purchase,6,"?265,597",Lagos,Tunde,No,Cash,"?1,593,582",
1/14/2024,January,2024,5953,Inverter 3.5kVA,Installation,5,"?43,293",Enugu,Ada,Yes,Cash,"?216,465",1/27/2024
8/29/2024,August,2024,3990,Solar Panel 500W,Product Purchase,1,"?39,656",Abuja,Tunde,Yes,Online Gateway,"?39,656",9/1/2024
9/21/2024,September,2024,2195,Solar Panel 500W,Site Inspection,2,"?57,604",Kano,Ada,Yes,Cash,"?115,208",10/5/2024
12/11/2024,December,2024,5559,Battery 200Ah,Installation,5,"?400,699",Enugu,Ada,No,Transfer,"?2,003,495",
2/22/2024,February,2024,5365,Battery 200Ah,Repair,9,"?259,860",Port Harcourt,Ada,No,Cash,"?2,338,740",
12/5/2024,December,2024,2244,Solar Panel 300W,Repair,5,"?318,451",Enugu,Ada,Yes,POS,"?1,592,255",12/16/2024
4/1/2024,April,2024,7766,Solar Panel 300W,Product Purchase,5,"?287,248",Abuja,Stella,No,Transfer,"?1,436,240",
9/20/2024,September,2024,6302,Solar Panel 500W,Product Purchase,1,"?40,966",Port Harcourt,Stella,No,POS,"?40,966",
2/4/2024,February,2024,2306,Solar Panel 500W,Site Inspection,5,"?65,710",Abuja,Ada,No,Cash,"?328,550",
7/24/2024,July,2024,3402,Solar Panel 500W,Site Inspection,8,"?32,822",Port Harcourt,Michael,Yes,POS,"?262,576",8/5/2024
3/21/2024,March,2024,1496,Solar Panel 500W,Repair,9,"?411,141",Kano,Ada,Yes,Transfer,"?3,700,269",3/31/2024
2/19/2024,February,2024,4399,Charge Controller,Maintenance,3,"?373,973",Kano,Ada,No,Online Gateway,"?1,121,919",
12/25/2024,December,2024,1909,Solar Panel 300W,Site Inspection,4,"?19,819",Enugu,Michael,Yes,Transfer,"?79,276",12/30/2024
1/2/2024,January,2024,1372,Solar Panel 300W,Repair,7,"?413,587",Lagos,Michael,No,Transfer,"?2,895,109",
2/23/2024,February,2024,7236,Solar Panel 500W,Site Inspection,7,"?216,311",Enugu,Ada,No,Transfer,"?1,514,177",
4/15/2024,April,2024,2344,Inverter 3.5kVA,Installation,1,"?26,984",Abuja,John,No,POS,"?26,984",
9/16/2024,September,2024,9515,Solar Panel 500W,Product Purchase,6,"?234,704",Kano,John,No,Transfer,"?1,408,224",
11/5/2024,November,2024,3431,Accessories,Repair,9,"?365,441",Kano,Michael,No,Transfer,"?3,288,969",
7/9/2024,July,2024,5670,Battery 200Ah,Site Inspection,5,"?228,349",Enugu,Ada,No,Transfer,"?1,141,745",
8/5/2024,August,2024,3784,Accessories,Product Purchase,8,"?231,389",Abuja,Grace,Yes,Cash,"?1,851,112",8/13/2024
2/13/2024,February,2024,2695,Inverter 3.5kVA,Maintenance,9,"?155,352",Enugu,Tunde,No,POS,"?1,398,168",
6/10/2024,June,2024,2907,Battery 200Ah,Site Inspection,3,"?408,508",Enugu,Tunde,Yes,Cash,"?1,225,524",6/20/2024
7/20/2024,July,2024,5814,Inverter 3.5kVA,Repair,1,"?348,123",Enugu,Ada,Yes,Transfer,"?348,123",7/30/2024
9/26/2024,September,2024,1780,Battery 200Ah,Installation,2,"?155,254",Abuja,Ada,No,Cash,"?310,508",
12/16/2024,December,2024,2019,Solar Panel 500W,Product Purchase,5,"?59,362",Lagos,Ada,Yes,Online Gateway,"?296,810",12/28/2024
10/30/2024,October,2024,2403,Solar Panel 500W,Product Purchase,7,"?279,720",Kano,Tunde,No,Transfer,"?1,958,040",
9/27/2024,September,2024,2426,Inverter 3.5kVA,Installation,6,"?381,726",Port Harcourt,Tunde,Yes,Cash,"?2,290,356",10/5/2024
8/2/2024,August,2024,9855,Battery 200Ah,Repair,4,"?15,819",Abuja,Michael,No,Transfer,"?63,276",
9/8/2024,September,2024,6868,Charge Controller,Maintenance,9,"?101,145",Abuja,Stella,No,Online Gateway,"?910,305",
7/8/2024,July,2024,1010,Inverter 3.5kVA,Installation,4,"?198,844",Abuja,Michael,Yes,Transfer,"?795,376",7/16/2024
10/22/2024,October,2024,7330,Inverter 3.5kVA,Maintenance,3,"?170,385",Enugu,Michael,No,Transfer,"?511,155",
7/31/2024,July,2024,3825,Accessories,Repair,5,"?87,248",Enugu,John,No,Cash,"?436,240",
7/26/2024,July,2024,8464,Solar Panel 300W,Site Inspection,4,"?141,308",Abuja,Grace,Yes,Transfer,"?565,232",8/5/2024
8/24/2024,August,2024,4003,Inverter 3.5kVA,Site Inspection,2,"?160,929",Kano,Michael,No,Online Gateway,"?321,858",
12/3/2024,December,2024,8195,Charge Controller,Repair,3,"?42,083",Port Harcourt,Michael,Yes,Online Gateway,"?126,249",12/15/2024
2/22/2024,February,2024,7720,Solar Panel 500W,Maintenance,7,"?232,680",Lagos,Michael,No,Cash,"?1,628,760",
10/6/2024,October,2024,4088,Battery 200Ah,Installation,2,"?304,709",Ibadan,Michael,No,Transfer,"?609,418",
8/4/2024,August,2024,2789,Solar Panel 300W,Repair,1,"?391,409",Kano,Stella,Yes,POS,"?391,409",8/7/2024
9/8/2024,September,2024,4036,Battery 200Ah,Repair,2,"?259,612",Kano,John,No,Transfer,"?519,224",
7/6/2024,July,2024,8377,Solar Panel 500W,Site Inspection,8,"?20,751",Ibadan,Tunde,Yes,POS,"?166,008",7/20/2024
2/10/2024,February,2024,8598,Inverter 3.5kVA,Installation,8,"?306,429",Ibadan,Grace,Yes,Transfer,"?2,451,432",2/14/2024
6/5/2024,June,2024,5838,Accessories,Site Inspection,2,"?348,294",Abuja,Ada,Yes,Online Gateway,"?696,588",6/17/2024
1/15/2024,January,2024,6872,Charge Controller,Maintenance,6,"?314,546",Port Harcourt,Tunde,No,Online Gateway,"?1,887,276",
10/27/2024,October,2024,4653,Solar Panel 300W,Maintenance,7,"?363,420",Kano,John,Yes,Transfer,"?2,543,940",11/2/2024
3/5/2024,March,2024,5299,Charge Controller,Product Purchase,1,"?362,708",Kano,Michael,Yes,Transfer,"?362,708",3/16/2024
12/10/2024,December,2024,1973,Charge Controller,Repair,7,"?411,423",Lagos,Tunde,No,Online Gateway,"?2,879,961",
11/22/2024,November,2024,8083,Charge Controller,Installation,8,"?391,734",Ibadan,Michael,Yes,Transfer,"?3,133,872",11/25/2024
1/9/2024,January,2024,6494,Charge Controller,Installation,9,"?17,656",Ibadan,Grace,No,Transfer,"?158,904",
12/9/2024,December,2024,4406,Solar Panel 500W,Site Inspection,8,"?401,708",Kano,Stella,Yes,Cash,"?3,213,664",12/17/2024
5/8/2024,May,2024,6150,Charge Controller,Site Inspection,3,"?425,850",Ibadan,Stella,No,Cash,"?1,277,550",
5/15/2024,May,2024,4129,Accessories,Installation,8,"?319,916",Abuja,Grace,No,Cash,"?2,559,328",
3/3/2024,March,2024,1104,Charge Controller,Site Inspection,3,"?41,418",Lagos,Grace,No,POS,"?124,254",
5/18/2024,May,2024,8433,Solar Panel 500W,Product Purchase,6,"?129,915",Kano,John,No,Online Gateway,"?779,490",
3/21/2024,March,2024,8689,Battery 200Ah,Repair,4,"?117,202",Enugu,Grace,No,Transfer,"?468,808",
6/11/2024,June,2024,4567,Solar Panel 500W,Product Purchase,7,"?238,489",Lagos,Tunde,No,Online Gateway,"?1,669,423",
10/15/2024,October,2024,5348,Accessories,Maintenance,8,"?110,645",Enugu,Stella,Yes,Transfer,"?885,160",10/20/2024
9/17/2024,September,2024,5390,Accessories,Installation,6,"?230,865",Abuja,Grace,Yes,Transfer,"?1,385,190",9/24/2024
8/18/2024,August,2024,7811,Inverter 3.5kVA,Product Purchase,4,"?386,931",Lagos,John,No,Online Gateway,"?1,547,724",
2/10/2024,February,2024,2181,Solar Panel 500W,Product Purchase,8,"?47,720",Enugu,John,Yes,POS,"?381,760",2/11/2024
1/28/2024,January,2024,5644,Battery 200Ah,Site Inspection,7,"?401,283",Ibadan,John,No,POS,"?2,808,981",
5/14/2024,May,2024,6873,Inverter 3.5kVA,Site Inspection,8,"?315,051",Kano,Tunde,Yes,POS,"?2,520,408",5/23/2024
7/19/2024,July,2024,5394,Inverter 3.5kVA,Site Inspection,7,"?349,247",Lagos,Grace,No,POS,"?2,444,729",
11/23/2024,November,2024,4534,Solar Panel 300W,Maintenance,3,"?250,932",Port Harcourt,Tunde,Yes,Cash,"?752,796",12/1/2024
9/24/2024,September,2024,6844,Charge Controller,Product Purchase,3,"?411,676",Kano,John,Yes,Online Gateway,"?1,235,028",9/27/2024
2/2/2024,February,2024,6939,Inverter 3.5kVA,Repair,9,"?369,648",Lagos,Ada,No,POS,"?3,326,832",
2/17/2024,February,2024,7475,Inverter 3.5kVA,Site Inspection,7,"?206,113",Kano,Grace,Yes,POS,"?1,442,791",2/20/2024
3/2/2024,March,2024,2774,Accessories,Maintenance,1,"?312,426",Enugu,Grace,No,POS,"?312,426",
8/3/2024,August,2024,9283,Battery 200Ah,Maintenance,3,"?445,268",Lagos,Tunde,No,POS,"?1,335,804",
10/19/2024,October,2024,1446,Inverter 3.5kVA,Site Inspection,1,"?438,528",Lagos,Tunde,Yes,Cash,"?438,528",10/25/2024
4/8/2024,April,2024,1108,Battery 200Ah,Installation,6,"?413,720",Ibadan,Ada,Yes,Transfer,"?2,482,320",4/13/2024
6/20/2024,June,2024,4239,Charge Controller,Product Purchase,2,"?234,054",Lagos,Tunde,Yes,POS,"?468,108",7/1/2024
12/25/2024,December,2024,6931,Accessories,Site Inspection,7,"?100,089",Port Harcourt,Tunde,No,Cash,"?700,623",
8/1/2024,August,2024,5053,Solar Panel 300W,Repair,8,"?144,976",Ibadan,Grace,Yes,Cash,"?1,159,808",8/4/2024
2/4/2024,February,2024,5537,Solar Panel 300W,Product Purchase,6,"?398,245",Port Harcourt,Stella,Yes,Cash,"?2,389,470",2/9/2024
8/14/2024,August,2024,7361,Charge Controller,Maintenance,5,"?294,192",Enugu,Ada,Yes,Transfer,"?1,470,960",8/15/2024
4/10/2024,April,2024,2245,Charge Controller,Repair,4,"?102,257",Port Harcourt,Stella,Yes,Online Gateway,"?409,028",4/13/2024
5/10/2024,May,2024,3720,Accessories,Product Purchase,9,"?390,497",Abuja,Grace,Yes,POS,"?3,514,473",5/17/2024
9/13/2024,September,2024,9469,Accessories,Repair,8,"?389,251",Port Harcourt,Ada,Yes,Transfer,"?3,114,008",9/20/2024
1/5/2024,January,2024,8741,Solar Panel 500W,Maintenance,5,"?306,244",Lagos,Ada,No,Cash,"?1,531,220",
8/5/2024,August,2024,6105,Inverter 3.5kVA,Site Inspection,1,"?251,115",Kano,Ada,Yes,Transfer,"?251,115",8/15/2024
9/11/2024,September,2024,3922,Inverter 3.5kVA,Repair,8,"?17,632",Ibadan,Tunde,No,Online Gateway,"?141,056",
12/24/2024,December,2024,3513,Inverter 3.5kVA,Site Inspection,8,"?194,771",Ibadan,John,No,Cash,"?1,558,168",
10/9/2024,October,2024,3801,Battery 200Ah,Maintenance,7,"?214,673",Ibadan,Michael,Yes,Online Gateway,"?1,502,711",10/14/2024
7/25/2024,July,2024,7981,Solar Panel 500W,Maintenance,7,"?377,337",Kano,John,No,Online Gateway,"?2,641,359",
1/15/2024,January,2024,9221,Inverter 3.5kVA,Repair,8,"?192,118",Port Harcourt,Tunde,Yes,Cash,"?1,536,944",1/21/2024
12/11/2024,December,2024,7502,Battery 200Ah,Repair,1,"?390,442",Enugu,Tunde,No,POS,"?390,442",
2/11/2024,February,2024,7038,Battery 200Ah,Maintenance,3,"?42,694",Abuja,Michael,Yes,Online Gateway,"?128,082",2/22/2024
6/27/2024,June,2024,7229,Solar Panel 300W,Repair,4,"?125,814",Lagos,Tunde,No,Cash,"?503,256",
3/3/2024,March,2024,1364,Battery 200Ah,Repair,6,"?32,343",Enugu,Ada,Yes,Transfer,"?194,058",3/9/2024
12/17/2024,December,2024,2800,Charge Controller,Repair,9,"?236,341",Ibadan,Stella,Yes,Transfer,"?2,127,069",12/28/2024
8/18/2024,August,2024,6958,Accessories,Repair,4,"?30,406",Lagos,Stella,Yes,Online Gateway,"?121,624",8/22/2024
8/28/2024,August,2024,8436,Battery 200Ah,Product Purchase,6,"?311,919",Port Harcourt,Ada,No,Cash,"?1,871,514",
2/21/2024,February,2024,5793,Charge Controller,Maintenance,9,"?77,240",Enugu,John,Yes,Online Gateway,"?695,160",2/22/2024
4/5/2024,April,2024,9160,Charge Controller,Maintenance,9,"?179,561",Abuja,Stella,No,POS,"?1,616,049",
8/9/2024,August,2024,1179,Solar Panel 300W,Installation,6,"?226,262",Ibadan,Ada,Yes,Transfer,"?1,357,572",8/21/2024
8/18/2024,August,2024,4873,Solar Panel 300W,Site Inspection,5,"?180,094",Port Harcourt,John,Yes,POS,"?900,470",8/19/2024
8/24/2024,August,2024,4960,Battery 200Ah,Installation,3,"?213,953",Enugu,Grace,No,Online Gateway,"?641,859",
5/22/2024,May,2024,2186,Solar Panel 300W,Repair,5,"?375,552",Abuja,Stella,Yes,POS,"?1,877,760",5/23/2024
6/19/2024,June,2024,1773,Solar Panel 300W,Repair,3,"?311,573",Enugu,Ada,No,POS,"?934,719",
1/29/2024,January,2024,5460,Accessories,Product Purchase,5,"?290,314",Ibadan,Stella,Yes,Online Gateway,"?1,451,570",2/1/2024
2/5/2024,February,2024,1352,Inverter 3.5kVA,Product Purchase,1,"?85,954",Port Harcourt,Stella,No,Online Gateway,"?85,954",
1/13/2024,January,2024,7943,Battery 200Ah,Product Purchase,6,"?425,691",Lagos,Stella,No,Online Gateway,"?2,554,146",
6/8/2024,June,2024,6202,Battery 200Ah,Product Purchase,7,"?173,368",Enugu,Michael,Yes,POS,"?1,213,576",6/17/2024
11/22/2024,November,2024,6344,Battery 200Ah,Product Purchase,2,"?168,195",Kano,John,Yes,Cash,"?336,390",12/5/2024
7/5/2024,July,2024,5507,Solar Panel 300W,Product Purchase,3,"?142,776",Ibadan,Stella,No,Cash,"?428,328",
8/30/2024,August,2024,5830,Accessories,Product Purchase,9,"?284,104",Abuja,Ada,Yes,Cash,"?2,556,936",9/12/2024
3/26/2024,March,2024,1117,Solar Panel 300W,Product Purchase,8,"?194,795",Abuja,Michael,No,POS,"?1,558,360",
10/10/2024,October,2024,1481,Charge Controller,Product Purchase,4,"?335,552",Kano,Tunde,No,Transfer,"?1,342,208",
3/6/2024,March,2024,5287,Solar Panel 500W,Maintenance,8,"?112,479",Kano,Tunde,Yes,Transfer,"?899,832",3/14/2024
6/18/2024,June,2024,7802,Solar Panel 500W,Product Purchase,8,"?180,411",Port Harcourt,John,No,Online Gateway,"?1,443,288",
2/14/2024,February,2024,9298,Solar Panel 500W,Site Inspection,6,"?50,783",Kano,Ada,No,Cash,"?304,698",
3/2/2024,March,2024,5477,Inverter 3.5kVA,Product Purchase,1,"?87,542",Ibadan,Michael,No,Transfer,"?87,542",
5/13/2024,May,2024,7533,Solar Panel 300W,Repair,2,"?165,902",Enugu,Ada,Yes,Cash,"?331,804",5/16/2024
10/10/2024,October,2024,1243,Charge Controller,Repair,4,"?98,349",Kano,Michael,Yes,POS,"?393,396",10/15/2024
1/28/2024,January,2024,8012,Charge Controller,Product Purchase,4,"?358,273",Ibadan,Grace,Yes,Online Gateway,"?1,433,092",2/5/2024
4/17/2024,April,2024,1865,Solar Panel 500W,Product Purchase,2,"?225,427",Lagos,Grace,Yes,Online Gateway,"?450,854",4/20/2024
2/13/2024,February,2024,6329,Accessories,Repair,9,"?31,625",Kano,Grace,No,Online Gateway,"?284,625",
12/5/2024,December,2024,1603,Inverter 3.5kVA,Site Inspection,2,"?120,390",Lagos,Michael,Yes,Online Gateway,"?240,780",12/18/2024
10/12/2024,October,2024,6756,Inverter 3.5kVA,Installation,6,"?139,242",Enugu,Tunde,Yes,Online Gateway,"?835,452",10/14/2024
11/26/2024,November,2024,5018,Solar Panel 500W,Maintenance,5,"?98,987",Abuja,Grace,Yes,Online Gateway,"?494,935",12/2/2024
5/7/2024,May,2024,6192,Solar Panel 500W,Repair,4,"?369,134",Enugu,John,Yes,Online Gateway,"?1,476,536",5/13/2024
12/13/2024,December,2024,3015,Solar Panel 300W,Product Purchase,6,"?399,663",Kano,John,Yes,Cash,"?2,397,978",12/25/2024
8/18/2024,August,2024,4380,Accessories,Maintenance,4,"?243,221",Abuja,Ada,No,Transfer,"?972,884",
7/8/2024,July,2024,4770,Inverter 3.5kVA,Product Purchase,9,"?55,106",Enugu,Michael,Yes,Cash,"?495,954",7/9/2024
8/12/2024,August,2024,6829,Charge Controller,Installation,7,"?423,791",Lagos,Grace,Yes,Cash,"?2,966,537",8/19/2024
10/9/2024,October,2024,2613,Solar Panel 500W,Installation,3,"?373,243",Abuja,Michael,Yes,Transfer,"?1,119,729",10/16/2024
4/30/2024,April,2024,2879,Solar Panel 300W,Repair,4,"?87,423",Lagos,Stella,Yes,Cash,"?349,692",5/8/2024
4/25/2024,April,2024,6372,Charge Controller,Maintenance,1,"?315,047",Port Harcourt,John,No,Online Gateway,"?315,047",
8/20/2024,August,2024,5108,Inverter 3.5kVA,Maintenance,6,"?235,442",Enugu,Michael,Yes,Cash,"?1,412,652",9/3/2024
9/15/2024,September,2024,9978,Solar Panel 500W,Installation,2,"?355,132",Enugu,Ada,No,Online Gateway,"?710,264",
12/24/2024,December,2024,1148,Accessories,Product Purchase,4,"?247,204",Lagos,Grace,Yes,Transfer,"?988,816",1/3/2025
7/16/2024,July,2024,2754,Solar Panel 500W,Repair,5,"?125,258",Port Harcourt,Tunde,No,Cash,"?626,290",
5/16/2024,May,2024,8378,Accessories,Site Inspection,8,"?85,913",Abuja,Grace,Yes,POS,"?687,304",5/28/2024
11/13/2024,November,2024,7681,Solar Panel 300W,Installation,3,"?250,083",Lagos,Tunde,No,Cash,"?750,249",
6/13/2024,June,2024,4756,Solar Panel 300W,Installation,6,"?239,872",Port Harcourt,John,No,Transfer,"?1,439,232",
8/12/2024,August,2024,6392,Inverter 3.5kVA,Repair,1,"?50,168",Lagos,Grace,Yes,POS,"?50,168",8/16/2024
11/2/2024,November,2024,4052,Accessories,Product Purchase,9,"?100,078",Ibadan,John,No,Online Gateway,"?900,702",
8/21/2024,August,2024,6692,Solar Panel 500W,Maintenance,1,"?245,925",Enugu,Stella,No,POS,"?245,925",
6/20/2024,June,2024,5218,Solar Panel 300W,Installation,2,"?356,936",Ibadan,John,Yes,Online Gateway,"?713,872",6/27/2024
5/31/2024,May,2024,5803,Solar Panel 500W,Repair,1,"?21,902",Abuja,Michael,No,Transfer,"?21,902",
11/10/2024,November,2024,3377,Inverter 3.5kVA,Repair,8,"?228,869",Ibadan,Michael,Yes,Online Gateway,"?1,830,952",11/23/2024
6/8/2024,June,2024,6086,Accessories,Repair,4,"?95,624",Enugu,Michael,No,Transfer,"?382,496",
4/5/2024,April,2024,4182,Solar Panel 500W,Maintenance,2,"?349,689",Kano,Michael,Yes,Cash,"?699,378",4/9/2024
8/20/2024,August,2024,4160,Charge Controller,Installation,7,"?427,680",Port Harcourt,Stella,No,POS,"?2,993,760",
6/28/2024,June,2024,7576,Solar Panel 500W,Repair,8,"?411,750",Enugu,John,No,POS,"?3,294,000",
4/22/2024,April,2024,9903,Battery 200Ah,Maintenance,9,"?92,335",Enugu,John,No,POS,"?831,015",
11/13/2024,November,2024,3586,Battery 200Ah,Product Purchase,5,"?284,935",Kano,John,No,Online Gateway,"?1,424,675",
2/21/2024,February,2024,3648,Inverter 3.5kVA,Site Inspection,3,"?24,512",Ibadan,Stella,No,Transfer,"?73,536",
9/24/2024,September,2024,8313,Inverter 3.5kVA,Installation,1,"?242,259",Abuja,Stella,Yes,Cash,"?242,259",10/1/2024
10/21/2024,October,2024,2717,Inverter 3.5kVA,Maintenance,8,"?298,864",Kano,Michael,Yes,Transfer,"?2,390,912",10/26/2024
4/22/2024,April,2024,6308,Charge Controller,Site Inspection,6,"?160,635",Enugu,Grace,No,POS,"?963,810",
4/10/2024,April,2024,8407,Accessories,Site Inspection,5,"?198,327",Abuja,Stella,No,Online Gateway,"?991,635",
4/22/2024,April,2024,1870,Charge Controller,Maintenance,7,"?273,478",Lagos,Stella,No,Cash,"?1,914,346",
3/21/2024,March,2024,4574,Solar Panel 500W,Maintenance,5,"?361,900",Enugu,Ada,No,Cash,"?1,809,500",
7/5/2024,July,2024,6827,Solar Panel 300W,Maintenance,4,"?208,766",Kano,Michael,No,Online Gateway,"?835,064",
4/22/2024,April,2024,8986,Accessories,Repair,5,"?230,109",Lagos,Michael,No,Transfer,"?1,150,545",
1/2/2024,January,2024,9462,Battery 200Ah,Product Purchase,7,"?57,094",Kano,Ada,No,Online Gateway,"?399,658",
5/9/2024,May,2024,9741,Battery 200Ah,Repair,6,"?206,576",Port Harcourt,John,Yes,POS,"?1,239,456",5/21/2024
8/7/2024,August,2024,6769,Battery 200Ah,Site Inspection,9,"?109,209",Abuja,Grace,No,POS,"?982,881",
2/23/2024,February,2024,6733,Solar Panel 500W,Site Inspection,2,"?438,838",Lagos,Ada,No,POS,"?877,676",
12/8/2024,December,2024,4240,Solar Panel 500W,Site Inspection,7,"?272,079",Ibadan,Ada,Yes,Cash,"?1,904,553",12/15/2024
